"","Race","Stopped","Percent.Stopped","Race.Population","Percent.Race.Stopped"
"1","Asian",1141,0.0798404590301588,21690,0.0526048870447211
"2","Black",4636,0.324399972010356,11241,0.412418823948047
"3","Hispanic",1676,0.117276607655168,12209,0.137275780162175
"4","Other",1384,0.0968441676579666,5659,0.244566177769924
"5","White",5454,0.381638793646351,66996,0.0814078452444922
