"","Country","Year","GDP per capita","Life Expectancy","Total Population","Group"
"1","Abkhazia","1800",NA,NA,NA,"Europe & Central Asia"
"2","Afghanistan","1800",603,28.211,3280000,"South Asia"
"3","Akrotiri and Dhekelia","1800",NA,NA,NA,"Europe & Central Asia"
"4","Albania","1800",667,35.4,410445,"Europe & Central Asia"
"5","Algeria","1800",716,28.8224,2503218,"Middle East & North Africa"
"6","American Samoa","1800",NA,NA,8170,"East Asia & Pacific"
"7","Andorra","1800",1197,NA,2654,"Europe & Central Asia"
"8","Angola","1800",618,26.98,1567028,"Sub-Saharan Africa"
"9","Anguilla","1800",NA,NA,2025,"America"
"10","Antigua and Barbuda","1800",757,33.536,37000,"America"
"11","Argentina","1800",1507,33.2,534000,"America"
"12","Armenia","1800",514,33.995,413326,"Europe & Central Asia"
"13","Aruba","1800",833,34.419,19286,"America"
"14","Australia","1800",815,34.05,351014,"East Asia & Pacific"
"15","Austria","1800",1848,34.4,3205587,"Europe & Central Asia"
"16","Azerbaijan","1800",775,29.165,879960,"Europe & Central Asia"
"17","Bahamas","1800",1445,35.179,27350,"America"
"18","Bahrain","1800",1235,30.3,64474,"Middle East & North Africa"
"19","Bangladesh","1800",876,25.5,19227358,"South Asia"
"20","Barbados","1800",913,32.124,81729,"America"
"21","Belarus","1800",608,36.2,2355081,"Europe & Central Asia"
"22","Belgium","1800",2412,40,3138137,"Europe & Central Asia"
"23","Belize","1800",579,26.5,25526,"America"
"24","Benin","1800",597,31,636559,"Sub-Saharan Africa"
"25","Bermuda","1800",1227,NA,9692,"America"
"26","Bhutan","1800",629,28.799,89989,"South Asia"
"27","Bolivia","1800",854,33,1100000,"America"
"28","Bosnia and Herzegovina","1800",669,35.1,851806,"Europe & Central Asia"
"29","Botswana","1800",397,33.6,121000,"Sub-Saharan Africa"
"30","Brazil","1800",1109,32,3639636,"America"
"31","British Virgin Islands","1800",NA,NA,6700,"America"
"32","Brunei","1800",1512,29.2,2128,"East Asia & Pacific"
"33","Bulgaria","1800",1089,35.8,1992320,"Europe & Central Asia"
"34","Burkina Faso","1800",480,29.2,1665421,"Sub-Saharan Africa"
"35","Burundi","1800",418,31.5,899097,"Sub-Saharan Africa"
"36","Cambodia","1800",903,35,2090000,"East Asia & Pacific"
"37","Cameroon","1800",626,28.75,1860054,"Sub-Saharan Africa"
"38","Canada","1800",1314,39,645526,"America"
"39","Cape Verde","1800",529,33.8,55716,"Sub-Saharan Africa"
"40","Cayman Islands","1800",1039,NA,2439,"America"
"41","Central African Republic","1800",424,30,479444,NA
"42","Chad","1800",418,30.9,1432000,"Sub-Saharan Africa"
"43","Channel Islands","1800",NA,NA,43908,"Europe & Central Asia"
"44","Chile","1800",1026,32,771447,"America"
"45","China","1800",985,32,321675013,"East Asia & Pacific"
"46","Christmas Island","1800",NA,NA,NA,"East Asia & Pacific"
"47","Cocos Island","1800",NA,NA,NA,"East Asia & Pacific"
"48","Colombia","1800",963,32,1206000,"America"
"49","Comoros","1800",696,32.1,56346,"Sub-Saharan Africa"
"50","Congo, Dem. Rep.","1800",485,31.6,5163819,"Sub-Saharan Africa"
"51","Congo, Rep.","1800",575,32.7,314465,"Sub-Saharan Africa"
"52","Cook Is","1800",NA,NA,16136,NA
"53","Costa Rica","1800",775,30.2147,51987,"America"
"54","Cote d'Ivoire","1800",812,31.156,1088530,"Sub-Saharan Africa"
"55","Croatia","1800",NA,36.1,1227886,"Europe & Central Asia"
"56","Cuba","1800",864,32.2,345043,"America"
"57","Cyprus","1800",853,38.5,184392,"Europe & Central Asia"
"58","Czech Republic","1800",1915,34.9544,5516349,NA
"59","Czechoslovakia","1800",NA,NA,NA,"Europe & Central Asia"
"60","Denmark","1800",2013,37.4055532520793,1062514,"Europe & Central Asia"
"61","Djibouti","1800",752,29.9,22848,"Middle East & North Africa"
"62","Dominica","1800",663,NA,19950,"America"
"63","Dominican Republic","1800",667,29.9,89000,NA
"64","East Germany","1800",NA,NA,NA,"Europe & Central Asia"
"65","Ecuador","1800",529,32.9,5e+05,"America"
"66","Egypt","1800",791,33,4243515,"Middle East & North Africa"
"67","El Salvador","1800",974,28.7,248000,"America"
"68","Equatorial Guinea","1800",356,29.8,80377,"Sub-Saharan Africa"
"69","Eritrea","1800",532,30.2,205010,"Sub-Saharan Africa"
"70","Eritrea and Ethiopia","1800",NA,NA,NA,"Sub-Saharan Africa"
"71","Estonia","1800",938,36.1419674277376,334136,"Europe & Central Asia"
"72","Ethiopia","1800",523,29.7,2948990,"Sub-Saharan Africa"
"73","Faeroe Islands","1800",NA,NA,13537,"Europe & Central Asia"
"74","Falkland Is (Malvinas)","1800",NA,NA,100,NA
"75","Fiji","1800",785,26.1,130533,"East Asia & Pacific"
"76","Finland","1800",1244,36.5731262034154,977662,"Europe & Central Asia"
"77","France","1800",1803,33.967170239091,29355111,"Europe & Central Asia"
"78","French Guiana","1800",NA,30.5,9899,"America"
"79","French Polynesia","1800",NA,25.6,62530,"East Asia & Pacific"
"80","Gabon","1800",390,30.6,158227,"Sub-Saharan Africa"
"81","Gambia","1800",813,28.8,103274,"Sub-Saharan Africa"
"82","Georgia","1800",543,31.871,1072178,"Europe & Central Asia"
"83","Germany","1800",1639,38.37,22886919,"Europe & Central Asia"
"84","Ghana","1800",696,28,2016034,"Sub-Saharan Africa"
"85","Gibraltar","1800",NA,NA,9873,"Europe & Central Asia"
"86","Greece","1800",1371,36.6,2151155,"Europe & Central Asia"
"87","Greenland","1800",393,33.867,9584,"Europe & Central Asia"
"88","Grenada","1800",959,31.4,29409,"America"
"89","Guadeloupe","1800",NA,27.655,80726,"America"
"90","Guam","1800",NA,27.5,6053,"East Asia & Pacific"
"91","Guatemala","1800",857,25.8,458965,"America"
"92","Guernsey","1800",NA,NA,NA,"Europe & Central Asia"
"93","Guinea","1800",450,29.5,983959,"Sub-Saharan Africa"
"94","Guinea-Bissau","1800",777,32,218167,"Sub-Saharan Africa"
"95","Guyana","1800",1214,31.12,166034,"America"
"96","Haiti","1800",633,29,723000,"America"
"97","Holy See","1800",NA,NA,905,"Europe & Central Asia"
"98","Honduras","1800",675,33.9,126118,"America"
"99","Hong Kong, China","1800",1007,34.9,20000,"East Asia & Pacific"
"100","Hungary","1800",1249,36,3499771,"Europe & Central Asia"
"101","Iceland","1800",926,42.8455991183074,61428,"Europe & Central Asia"
"102","India","1800",1052,25.4424,168574895,"South Asia"
"103","Indonesia","1800",994,30,16108545,"East Asia & Pacific"
"104","Iran","1800",977,25.6,6269721,"Middle East & North Africa"
"105","Iraq","1800",970,31.2,1076920,"Middle East & North Africa"
"106","Ireland","1800",1447,38.3,4064749,"Europe & Central Asia"
"107","Isle of Man","1800",NA,NA,23533,"Europe & Central Asia"
"108","Israel","1800",879,32,209954,"Middle East & North Africa"
"109","Italy","1800",2225,29.69,18822234,"Europe & Central Asia"
"110","Jamaica","1800",1170,34.2,401000,"America"
"111","Japan","1800",1050,36.4,30294378,"East Asia & Pacific"
"112","Jersey","1800",NA,NA,NA,"Europe & Central Asia"
"113","Jordan","1800",976,31.7,217000,"Middle East & North Africa"
"114","Kazakhstan","1800",1140,26.2,2041282,"Europe & Central Asia"
"115","Kenya","1800",854,25.5,2574000,"Sub-Saharan Africa"
"116","Kiribati","1800",551,24.9,17876,"East Asia & Pacific"
"117","North Korea","1800",579,26,4345000,NA
"118","South Korea","1800",576,25.8,9395000,NA
"119","United Korea (former)
","1800",NA,NA,NA,NA
"120","Kosovo","1800",NA,NA,NA,"Europe & Central Asia"
"121","Kuwait","1800",1097,26,81280,"Middle East & North Africa"
"122","Kyrgyz Republic","1800",508,23.941,530343,NA
"123","Lao","1800",864,31.9,470000,NA
"124","Latvia","1800",751,33,590588,"Europe & Central Asia"
"125","Lebanon","1800",1081,29.7,332000,"Middle East & North Africa"
"126","Lesotho","1800",393,32.8,276361,"Sub-Saharan Africa"
"127","Liberia","1800",797,31.1,313543,"Sub-Saharan Africa"
"128","Libya","1800",1050,33.1,531472,"Middle East & North Africa"
"129","Liechtenstein","1800",NA,NA,5802,"Europe & Central Asia"
"130","Lithuania","1800",1270,28.9,778655,"Europe & Central Asia"
"131","Luxembourg","1800",1453,36.9,127030,"Europe & Central Asia"
"132","Macao, China","1800",992,34.7,17311,"East Asia & Pacific"
"133","Macedonia, FYR","1800",690,36.1,391865,"Europe & Central Asia"
"134","Madagascar","1800",573,30.5,1543133,"Sub-Saharan Africa"
"135","Malawi","1800",350,30.3,737000,"Sub-Saharan Africa"
"136","Malaysia","1800",997,30.6,287000,"East Asia & Pacific"
"137","Maldives","1800",842,32.647,42378,"South Asia"
"138","Mali","1800",603,26.408,1403398,"Sub-Saharan Africa"
"139","Malta","1800",781,28.7,134072,"Europe & Central Asia"
"140","Marshall Islands","1800",539,NA,5828,"East Asia & Pacific"
"141","Martinique","1800",NA,30.153,84039,"America"
"142","Mauritania","1800",527,32,382696,"Sub-Saharan Africa"
"143","Mauritius","1800",940,28.7,62865,"Sub-Saharan Africa"
"144","Mayotte","1800",NA,32.5,8219,"Sub-Saharan Africa"
"145","Mexico","1800",1379,26.9,6181708,"America"
"146","Micronesia, Fed. Sts.","1800",518,26.7,16416,"East Asia & Pacific"
"147","Moldova","1800",621,33.145,712558,"Europe & Central Asia"
"148","Monaco","1800",1948,NA,7789,"Europe & Central Asia"
"149","Mongolia","1800",592,31.8,619000,"East Asia & Pacific"
"150","Montenegro","1800",1057,35.4,126582,"Europe & Central Asia"
"151","Montserrat","1800",NA,NA,5230,"America"
"152","Morocco","1800",715,33.1,2503218,"Middle East & North Africa"
"153","Mozambique","1800",390,30.278,1982324,"Sub-Saharan Africa"
"154","Myanmar","1800",840,30.8,3506000,"East Asia & Pacific"
"155","Namibia","1800",540,32.4,229000,"Sub-Saharan Africa"
"156","Nauru","1800",554,NA,1834,"East Asia & Pacific"
"157","Nepal","1800",654,32.8,3881000,"South Asia"
"158","Netherlands","1800",4235,39.86,2254522,"Europe & Central Asia"
"159","Netherlands Antilles","1800",NA,34.408,NA,"America"
"160","New Caledonia","1800",NA,26,29432,"East Asia & Pacific"
"161","New Zealand","1800",658,34.05,1e+05,"East Asia & Pacific"
"162","Ngorno-Karabakh","1800",NA,NA,NA,"Europe & Central Asia"
"163","Nicaragua","1800",973,25.4,219387,"America"
"164","Niger","1800",446,30.8,1244861,"Sub-Saharan Africa"
"165","Nigeria","1800",851,30.4,12100855,"Sub-Saharan Africa"
"166","Niue","1800",NA,NA,4538,"East Asia & Pacific"
"167","Norfolk Island","1800",NA,NA,NA,"East Asia & Pacific"
"168","Northern Cyprus","1800",NA,NA,NA,"Europe & Central Asia"
"169","Northern Mariana Islands","1800",NA,NA,3360,"East Asia & Pacific"
"170","Norway","1800",1278,37.9162089880228,868570,"Europe & Central Asia"
"171","Oman","1800",915,32.3,318000,"Middle East & North Africa"
"172","Pakistan","1800",1021,25.8,13123633,"South Asia"
"173","Palau","1800",839,NA,3875,"East Asia & Pacific"
"174","Panama","1800",847,32.9,78842,"America"
"175","Papua New Guinea","1800",546,31.5,754894,"East Asia & Pacific"
"176","Paraguay","1800",835,35.5,143000,"America"
"177","Peru","1800",1204,35.7,1314151,"America"
"178","Philippines","1800",962,30.9,1894389,"East Asia & Pacific"
"179","Pitcairn","1800",NA,NA,NA,"East Asia & Pacific"
"180","Poland","1800",1213,35.9,9508747,"Europe & Central Asia"
"181","Portugal","1800",1685,35.6,3033454,"Europe & Central Asia"
"182","Puerto Rico","1800",1375,30.43,155000,"America"
"183","Qatar","1800",1097,30.8,14092,"Middle East & North Africa"
"184","Reunion","1800",NA,33,92744,"Sub-Saharan Africa"
"185","Romania","1800",815,35.7,5464085,"Europe & Central Asia"
"186","Russia","1800",1430,29.5734571976521,31088398,"Europe & Central Asia"
"187","Rwanda","1800",431,31.8,928368,"Sub-Saharan Africa"
"188","St. Barthélemy","1800",NA,NA,NA,NA
"189","St. Helena","1800",NA,NA,1997,NA
"190","St. Kitts and Nevis","1800",1164,NA,17202,NA
"191","St. Lucia","1800",874,28.008,24000,NA
"192","St. Martin","1800",NA,NA,NA,NA
"193","St. Vincent and the Grenadines","1800",838,25.986,25781,NA
"194","St.-Pierre-et-Miquelon","1800",NA,NA,1782,NA
"195","Samoa","1800",1400,25.4,47300,"East Asia & Pacific"
"196","San Marino","1800",1401,NA,5492,"Europe & Central Asia"
"197","Sao Tome and Principe","1800",850,31,22731,"Sub-Saharan Africa"
"198","Saudi Arabia","1800",846,32.1,2091000,"Middle East & North Africa"
"199","Senegal","1800",497,25.2,1009886,"Sub-Saharan Africa"
"200","Serbia","1800",1358,35.5,2147197,"Europe & Central Asia"
"201","Serbia and Montenegro","1800",NA,NA,NA,"Europe & Central Asia"
"202","Serbia excluding Kosovo","1800",NA,NA,NA,"Europe & Central Asia"
"203","Seychelles","1800",792,37,12522,"Sub-Saharan Africa"
"204","Sierra Leone","1800",734,25.1,794264,"Sub-Saharan Africa"
"205","Singapore","1800",1021,29.1,30000,"East Asia & Pacific"
"206","Slovak Republic","1800",1427,36.4,2140651,"Europe & Central Asia"
"207","Slovenia","1800",1409,36.6,469664,"Europe & Central Asia"
"208","Solomon Islands","1800",363,25.1,56998,"East Asia & Pacific"
"209","Somalia","1800",694,29.4,991488,"Sub-Saharan Africa"
"210","Somaliland","1800",NA,NA,NA,"Sub-Saharan Africa"
"211","South Africa","1800",1480,33.5,1440820,"Sub-Saharan Africa"
"212","South Ossetia","1800",NA,NA,NA,"Europe & Central Asia"
"213","Spain","1800",1518,29.5,11549294,"Europe & Central Asia"
"214","Sri Lanka","1800",898,32.6,1213000,"South Asia"
"215","Sudan","1800",518,31.4,3994154,"Sub-Saharan Africa"
"216","Suriname","1800",1636,32.9,80721,"America"
"217","Svalbard","1800",NA,NA,NA,"Europe & Central Asia"
"218","Swaziland","1800",490,32.3,86000,"Sub-Saharan Africa"
"219","Sweden","1800",1414,32.16,2354189,"Europe & Central Asia"
"220","Switzerland","1800",2701,38,1826051,"Europe & Central Asia"
"221","Syria","1800",1081,31.1,1337000,"Middle East & North Africa"
"222","Taiwan","1800",996,28.3,NA,"East Asia & Pacific"
"223","Tajikistan","1800",556,24.235,466629,"Europe & Central Asia"
"224","Tanzania","1800",562,32.2,3019768,"Sub-Saharan Africa"
"225","Thailand","1800",931,30.4,4665000,"East Asia & Pacific"
"226","Timor-Leste","1800",521,28.949,137262,"East Asia & Pacific"
"227","Togo","1800",682,31.3,445985,"Sub-Saharan Africa"
"228","Tokelau","1800",NA,NA,1009,"East Asia & Pacific"
"229","Tonga","1800",663,28.2,18658,"East Asia & Pacific"
"230","Transnistria","1800",NA,NA,NA,"Europe & Central Asia"
"231","Trinidad and Tobago","1800",1230,32.9,60000,"America"
"232","Tunisia","1800",716,28.8,862029,"Middle East & North Africa"
"233","Turkey","1800",1221,35,9773456,"Europe & Central Asia"
"234","Turkmenistan","1800",943,24,367215,"Europe & Central Asia"
"235","Turks and Caicos Islands","1800",487,NA,3296,"America"
"236","Tuvalu","1800",719,NA,2499,"East Asia & Pacific"
"237","Uganda","1800",464,25.3,2101397,"Sub-Saharan Africa"
"238","Ukraine","1800",763,36.6,11215490,"Europe & Central Asia"
"239","United Arab Emirates","1800",998,30.7,40153,"Middle East & North Africa"
"240","United Kingdom","1800",3431,38.6497602996604,12327466,"Europe & Central Asia"
"241","United States","1800",2128,39.41,6801854,"America"
"242","Uruguay","1800",1758,32.9,55000,"America"
"243","USSR","1800",NA,NA,NA,"Europe & Central Asia"
"244","Uzbekistan","1800",502,26.926,1919159,"Europe & Central Asia"
"245","Wallis et Futuna","1800",NA,NA,3721,"East Asia & Pacific"
"246","Vanuatu","1800",585,24.3,27791,"East Asia & Pacific"
"247","Venezuela","1800",682,32.2,718000,"America"
"248","West Bank and Gaza","1800",1220,32.1,165944,"Middle East & North Africa"
"249","West Germany","1800",NA,NA,NA,"Europe & Central Asia"
"250","Western Sahara","1800",NA,34.753,2788,"Middle East & North Africa"
"251","Vietnam","1800",861,32,6551000,"East Asia & Pacific"
"252","Virgin Islands (U.S.)","1800",NA,33.403,40000,"America"
"253","North Yemen (former)","1800",NA,NA,NA,NA
"254","South Yemen (former)","1800",NA,NA,NA,NA
"255","Yemen","1800",877,23.387,2593000,NA
"256","Yugoslavia","1800",NA,NA,NA,"Europe & Central Asia"
"257","Zambia","1800",663,32.6,747000,"Sub-Saharan Africa"
"258","Zimbabwe","1800",869,33.7,1085814,"Sub-Saharan Africa"
"259","Åland","1800",NA,NA,NA,"Europe & Central Asia"
"260","South Sudan","1800",507,26.665,1027378,"Sub-Saharan Africa"
"261","Abkhazia","1801",NA,NA,NA,"Europe & Central Asia"
"262","Afghanistan","1801",603,28.2007533333333,3280000,"South Asia"
"263","Akrotiri and Dhekelia","1801",NA,NA,NA,"Europe & Central Asia"
"264","Albania","1801",667,35.4,410445,"Europe & Central Asia"
"265","Algeria","1801",716,28.8224,2503218,"Middle East & North Africa"
"266","American Samoa","1801",NA,NA,8170,"East Asia & Pacific"
"267","Andorra","1801",1199,NA,2654,"Europe & Central Asia"
"268","Angola","1801",620,26.98,1567028,"Sub-Saharan Africa"
"269","Anguilla","1801",NA,NA,2025,"America"
"270","Antigua and Barbuda","1801",757,33.536,37000,"America"
"271","Argentina","1801",1508,33.2,534000,"America"
"272","Armenia","1801",514,33.995,413326,"Europe & Central Asia"
"273","Aruba","1801",833,34.419,19286,"America"
"274","Australia","1801",816,34.05,351014,"East Asia & Pacific"
"275","Austria","1801",1855,34.4,3205587,"Europe & Central Asia"
"276","Azerbaijan","1801",775,29.165,879960,"Europe & Central Asia"
"277","Bahamas","1801",1445,35.179,27350,"America"
"278","Bahrain","1801",1240,30.3,64474,"Middle East & North Africa"
"279","Bangladesh","1801",876,25.5,19227358,"South Asia"
"280","Barbados","1801",914,32.124,81729,"America"
"281","Belarus","1801",608,36.2,2355081,"Europe & Central Asia"
"282","Belgium","1801",2413,40.0080487804878,3138137,"Europe & Central Asia"
"283","Belize","1801",579,26.5,25526,"America"
"284","Benin","1801",597,31,636559,"Sub-Saharan Africa"
"285","Bermuda","1801",1227,NA,9692,"America"
"286","Bhutan","1801",629,28.799,89989,"South Asia"
"287","Bolivia","1801",854,33,1100000,"America"
"288","Bosnia and Herzegovina","1801",669,35.1,851806,"Europe & Central Asia"
"289","Botswana","1801",397,33.6,121000,"Sub-Saharan Africa"
"290","Brazil","1801",1109,31.9998066666667,3639636,"America"
"291","British Virgin Islands","1801",NA,NA,6700,"America"
"292","Brunei","1801",1512,29.2,2128,"East Asia & Pacific"
"293","Bulgaria","1801",1089,35.844,1992320,"Europe & Central Asia"
"294","Burkina Faso","1801",480,29.2,1665421,"Sub-Saharan Africa"
"295","Burundi","1801",418,31.5,899097,"Sub-Saharan Africa"
"296","Cambodia","1801",904,35,2090000,"East Asia & Pacific"
"297","Cameroon","1801",626,28.75,1860054,"Sub-Saharan Africa"
"298","Canada","1801",1322,39.0014967741936,645526,"America"
"299","Cape Verde","1801",529,33.8,55716,"Sub-Saharan Africa"
"300","Cayman Islands","1801",1039,NA,2439,"America"
"301","Central African Republic","1801",424,30,479444,NA
"302","Chad","1801",418,30.9,1432000,"Sub-Saharan Africa"
"303","Channel Islands","1801",NA,NA,43908,"Europe & Central Asia"
"304","Chile","1801",1026,32,771447,"America"
"305","China","1801",985,32,321675013,"East Asia & Pacific"
"306","Christmas Island","1801",NA,NA,NA,"East Asia & Pacific"
"307","Cocos Island","1801",NA,NA,NA,"East Asia & Pacific"
"308","Colombia","1801",963,32,1206000,"America"
"309","Comoros","1801",697,32.1,56346,"Sub-Saharan Africa"
"310","Congo, Dem. Rep.","1801",487,31.6,5163819,"Sub-Saharan Africa"
"311","Congo, Rep.","1801",576,32.7,314465,"Sub-Saharan Africa"
"312","Cook Is","1801",NA,NA,16136,NA
"313","Costa Rica","1801",775,30.2147,51987,"America"
"314","Cote d'Ivoire","1801",816,31.156,1088530,"Sub-Saharan Africa"
"315","Croatia","1801",NA,36.1,1227886,"Europe & Central Asia"
"316","Cuba","1801",874,32.325,345043,"America"
"317","Cyprus","1801",854,38.5001263157895,184392,"Europe & Central Asia"
"318","Czech Republic","1801",1916,34.9544,5516349,NA
"319","Czechoslovakia","1801",NA,NA,NA,"Europe & Central Asia"
"320","Denmark","1801",2017,38.5132847405481,1062514,"Europe & Central Asia"
"321","Djibouti","1801",754,29.9,22848,"Middle East & North Africa"
"322","Dominica","1801",663,NA,19950,"America"
"323","Dominican Republic","1801",667,29.9,89000,NA
"324","East Germany","1801",NA,NA,NA,"Europe & Central Asia"
"325","Ecuador","1801",529,32.9,5e+05,"America"
"326","Egypt","1801",791,33,4243515,"Middle East & North Africa"
"327","El Salvador","1801",975,28.7,248000,"America"
"328","Equatorial Guinea","1801",356,29.8,80377,"Sub-Saharan Africa"
"329","Eritrea","1801",532,30.2,205010,"Sub-Saharan Africa"
"330","Eritrea and Ethiopia","1801",NA,NA,NA,"Sub-Saharan Africa"
"331","Estonia","1801",939,35.7000725782256,334136,"Europe & Central Asia"
"332","Ethiopia","1801",523,29.7,2948990,"Sub-Saharan Africa"
"333","Faeroe Islands","1801",NA,NA,13537,"Europe & Central Asia"
"334","Falkland Is (Malvinas)","1801",NA,NA,100,NA
"335","Fiji","1801",785,26.1,130533,"East Asia & Pacific"
"336","Finland","1801",1246,40.2999893681334,977662,"Europe & Central Asia"
"337","France","1801",1806,36.3746487788874,29355111,"Europe & Central Asia"
"338","French Guiana","1801",NA,30.5,9899,"America"
"339","French Polynesia","1801",NA,25.6,62530,"East Asia & Pacific"
"340","Gabon","1801",390,30.6,158227,"Sub-Saharan Africa"
"341","Gambia","1801",813,28.8,103274,"Sub-Saharan Africa"
"342","Georgia","1801",543,31.871,1072178,"Europe & Central Asia"
"343","Germany","1801",1651,38.37,22886919,"Europe & Central Asia"
"344","Ghana","1801",696,28,2016034,"Sub-Saharan Africa"
"345","Gibraltar","1801",NA,NA,9873,"Europe & Central Asia"
"346","Greece","1801",1374,36.6,2151155,"Europe & Central Asia"
"347","Greenland","1801",393,33.8670031192147,9584,"Europe & Central Asia"
"348","Grenada","1801",959,31.4,29409,"America"
"349","Guadeloupe","1801",NA,27.655,80726,"America"
"350","Guam","1801",NA,27.5,6053,"East Asia & Pacific"
"351","Guatemala","1801",857,25.80016,458965,"America"
"352","Guernsey","1801",NA,NA,NA,"Europe & Central Asia"
"353","Guinea","1801",450,29.5103448275862,983959,"Sub-Saharan Africa"
"354","Guinea-Bissau","1801",777,32,218167,"Sub-Saharan Africa"
"355","Guyana","1801",1214,31.12,166034,"America"
"356","Haiti","1801",633,29,723000,"America"
"357","Holy See","1801",NA,NA,905,"Europe & Central Asia"
"358","Honduras","1801",675,33.9,126118,"America"
"359","Hong Kong, China","1801",1007,34.9,20000,"East Asia & Pacific"
"360","Hungary","1801",1249,36,3499771,"Europe & Central Asia"
"361","Iceland","1801",926,33.8797927326943,61428,"Europe & Central Asia"
"362","India","1801",1052,25.4424,168574895,"South Asia"
"363","Indonesia","1801",994,30,16108545,"East Asia & Pacific"
"364","Iran","1801",977,25.6,6269721,"Middle East & North Africa"
"365","Iraq","1801",970,31.2,1076920,"Middle East & North Africa"
"366","Ireland","1801",1447,38.3,4064749,"Europe & Central Asia"
"367","Isle of Man","1801",NA,NA,23533,"Europe & Central Asia"
"368","Israel","1801",880,32,209954,"Middle East & North Africa"
"369","Italy","1801",2197,29.69,18822234,"Europe & Central Asia"
"370","Jamaica","1801",1171,34.2,401000,"America"
"371","Japan","1801",1051,36.4003975384615,30294378,"East Asia & Pacific"
"372","Jersey","1801",NA,NA,NA,"Europe & Central Asia"
"373","Jordan","1801",976,31.7,217000,"Middle East & North Africa"
"374","Kazakhstan","1801",1141,26.2,2041282,"Europe & Central Asia"
"375","Kenya","1801",856,25.5,2574000,"Sub-Saharan Africa"
"376","Kiribati","1801",551,24.9,17876,"East Asia & Pacific"
"377","North Korea","1801",578,26,4345000,NA
"378","South Korea","1801",575,25.8,9395000,NA
"379","United Korea (former)
","1801",NA,NA,NA,NA
"380","Kosovo","1801",NA,NA,NA,"Europe & Central Asia"
"381","Kuwait","1801",1101,26,81280,"Middle East & North Africa"
"382","Kyrgyz Republic","1801",508,23.941,530343,NA
"383","Lao","1801",865,31.9,470000,NA
"384","Latvia","1801",752,33,590588,"Europe & Central Asia"
"385","Lebanon","1801",1082,29.7,332000,"Middle East & North Africa"
"386","Lesotho","1801",393,32.8,276361,"Sub-Saharan Africa"
"387","Liberia","1801",797,31.1,313543,"Sub-Saharan Africa"
"388","Libya","1801",1050,33.1,531472,"Middle East & North Africa"
"389","Liechtenstein","1801",NA,NA,5802,"Europe & Central Asia"
"390","Lithuania","1801",1271,28.9,778655,"Europe & Central Asia"
"391","Luxembourg","1801",1453,36.9,127030,"Europe & Central Asia"
"392","Macao, China","1801",992,34.7,17311,"East Asia & Pacific"
"393","Macedonia, FYR","1801",690,36.1,391865,"Europe & Central Asia"
"394","Madagascar","1801",573,30.5,1543133,"Sub-Saharan Africa"
"395","Malawi","1801",350,30.3,737000,"Sub-Saharan Africa"
"396","Malaysia","1801",997,30.6,287000,"East Asia & Pacific"
"397","Maldives","1801",843,32.647,42378,"South Asia"
"398","Mali","1801",603,26.408,1403398,"Sub-Saharan Africa"
"399","Malta","1801",782,28.7,134072,"Europe & Central Asia"
"400","Marshall Islands","1801",539,NA,5828,"East Asia & Pacific"
"401","Martinique","1801",NA,30.153,84039,"America"
"402","Mauritania","1801",528,32,382696,"Sub-Saharan Africa"
"403","Mauritius","1801",940,28.7,62865,"Sub-Saharan Africa"
"404","Mayotte","1801",NA,32.5,8219,"Sub-Saharan Africa"
"405","Mexico","1801",1379,26.9,6181708,"America"
"406","Micronesia, Fed. Sts.","1801",518,26.7,16416,"East Asia & Pacific"
"407","Moldova","1801",621,33.145,712558,"Europe & Central Asia"
"408","Monaco","1801",1950,NA,7789,"Europe & Central Asia"
"409","Mongolia","1801",592,31.8,619000,"East Asia & Pacific"
"410","Montenegro","1801",1058,35.4,126582,"Europe & Central Asia"
"411","Montserrat","1801",NA,NA,5230,"America"
"412","Morocco","1801",715,33.1,2503218,"Middle East & North Africa"
"413","Mozambique","1801",391,30.2779866666667,1982324,"Sub-Saharan Africa"
"414","Myanmar","1801",840,30.8,3506000,"East Asia & Pacific"
"415","Namibia","1801",540,32.4,229000,"Sub-Saharan Africa"
"416","Nauru","1801",554,NA,1834,"East Asia & Pacific"
"417","Nepal","1801",654,32.8,3881000,"South Asia"
"418","Netherlands","1801",4161,39.86,2254522,"Europe & Central Asia"
"419","Netherlands Antilles","1801",NA,34.408,NA,"America"
"420","New Caledonia","1801",NA,26,29432,"East Asia & Pacific"
"421","New Zealand","1801",659,34.05,1e+05,"East Asia & Pacific"
"422","Ngorno-Karabakh","1801",NA,NA,NA,"Europe & Central Asia"
"423","Nicaragua","1801",973,25.4,219387,"America"
"424","Niger","1801",446,30.8,1244861,"Sub-Saharan Africa"
"425","Nigeria","1801",853,30.4,12100855,"Sub-Saharan Africa"
"426","Niue","1801",NA,NA,4538,"East Asia & Pacific"
"427","Norfolk Island","1801",NA,NA,NA,"East Asia & Pacific"
"428","Northern Cyprus","1801",NA,NA,NA,"Europe & Central Asia"
"429","Northern Mariana Islands","1801",NA,NA,3360,"East Asia & Pacific"
"430","Norway","1801",1280,35.8192129050991,868570,"Europe & Central Asia"
"431","Oman","1801",916,32.3,318000,"Middle East & North Africa"
"432","Pakistan","1801",1021,25.8,13123633,"South Asia"
"433","Palau","1801",839,NA,3875,"East Asia & Pacific"
"434","Panama","1801",847,32.9,78842,"America"
"435","Papua New Guinea","1801",546,31.5,754894,"East Asia & Pacific"
"436","Paraguay","1801",835,35.5,143000,"America"
