"";"id";"Total.population";"Hispanic.or.Latino";"Total.population..not.Hispanic.or.Latino";"One.race.total";"White";"Black.or.African.American";"American.Indian.and.Alaska.Native";"Asian";"Native.Hawaiian.and.Other.Pacific.Islander";"Some.Other.Race";"Two.or.More.Races"
"91";"4086";5492;2476;3016;5220;985;2546;51;234;52;1352;272
"92";"4087";7207;3236;3971;6885;1374;3201;44;330;70;1866;322
"93";"4088";5547;2548;2999;5237;939;2377;31;424;35;1431;310
"94";"4089";3414;2029;1385;3261;656;1119;47;87;58;1294;153
"95";"4090";3552;1733;1819;3392;732;1570;24;130;30;906;160
"96";"4091";2255;1169;1086;2160;504;942;24;52;31;607;95
"97";"4092";3152;1559;1593;3030;393;1281;23;144;63;1126;122
"98";"4093";5229;3143;2086;4982;1248;1691;39;146;46;1812;247
"99";"4094";4306;2891;1415;4158;1137;1028;40;217;40;1696;148
"100";"4095";3122;2117;1005;2956;825;795;26;62;59;1189;166
"101";"4096";5063;2977;2086;4838;1015;1723;44;134;80;1842;225
"102";"4097";4696;1830;2866;4456;784;2343;38;191;119;981;240
"103";"4098";2887;368;2519;2738;498;1916;11;126;13;174;149
"104";"4099";3308;268;3040;3139;978;1791;9;253;9;99;169
"105";"4100";2805;268;2537;2647;974;1393;20;180;7;73;158
"106";"4101";2406;427;1979;2281;385;1506;22;139;18;211;125
"107";"4102";3062;1038;2024;2947;415;1671;20;151;25;665;115
"108";"4103";3536;2186;1350;3356;766;1035;34;117;101;1303;180
"109";"4104";3792;1644;2148;3606;831;1593;15;327;13;827;186
"110";"4105";2193;200;1993;2076;188;1384;13;372;4;115;117
"111";"4201";2355;205;2150;2197;1550;55;8;511;4;69;158
"112";"4202";2898;330;2568;2680;1500;92;6;942;6;134;218
"113";"4203";4571;422;4149;4277;2226;183;20;1708;8;132;294
"114";"4204";3124;424;2700;2922;1078;121;40;1515;16;152;202
"115";"4205";2308;259;2049;2154;1332;99;9;631;3;80;154
"116";"4206";3283;251;3032;3065;2442;95;5;483;0;40;218
"117";"4211";1992;100;1892;1895;1596;38;2;234;7;18;97
"118";"4212";3563;191;3372;3393;2965;73;4;296;5;50;170
"119";"4213";3844;202;3642;3642;3142;69;9;372;3;47;202
"120";"4214";1593;62;1531;1525;1354;28;4;129;0;10;68
"121";"4215";3640;188;3452;3450;3020;60;6;319;0;45;190
"122";"4216";3558;188;3370;3365;2872;59;5;368;5;56;193
"123";"4217";3198;233;2965;3009;2305;99;16;523;3;63;189
