"","Col1","Total.population","Hispanic.or.Latino","Total.population..not.Hispanic.or.Latino","One.race.total","White","Black.or.African.American","American.Indian.and.Alaska.Native","Asian","Native.Hawaiian.and.Other.Pacific.Islander","Some.Other.Race","Two.or.More.Races"
"1","BLOCKS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Block 1055, Block Group 1, Census Tract 4001, Alameda County, California",13,0,13,13,9,1,0,2,0,1,0
"58","Block 1056, Block Group 1, Census Tract 4001, Alameda County, California",85,0,85,83,56,8,0,19,0,0,2
"59","Block 1057, Block Group 1, Census Tract 4001, Alameda County, California",48,4,44,46,33,2,0,11,0,0,2
"60","Block 1058, Block Group 1, Census Tract 4001, Alameda County, California",118,4,114,118,85,7,1,21,0,4,0
"61","Block 1059, Block Group 1, Census Tract 4001, Alameda County, California",37,0,37,37,26,1,0,10,0,0,0
"62","Block 1060, Block Group 1, Census Tract 4001, Alameda County, California",52,2,50,52,39,7,0,6,0,0,0
"63","Block 1061, Block Group 1, Census Tract 4001, Alameda County, California",69,0,69,69,57,5,0,7,0,0,0
"64","Block 1062, Block Group 1, Census Tract 4001, Alameda County, California",37,0,37,34,27,3,0,4,0,0,3
"65","Block 1063, Block Group 1, Census Tract 4001, Alameda County, California",16,0,16,15,14,0,0,1,0,0,1
"66","Block 1064, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"67","Block 1065, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"68","Block 1066, Block Group 1, Census Tract 4001, Alameda County, California",23,1,22,23,22,0,0,1,0,0,0
"69","Block 1067, Block Group 1, Census Tract 4001, Alameda County, California",16,0,16,14,11,3,0,0,0,0,2
"70","Block 1068, Block Group 1, Census Tract 4001, Alameda County, California",11,0,11,10,8,1,0,0,0,1,1
"71","Block 1069, Block Group 1, Census Tract 4001, Alameda County, California",10,0,10,10,6,0,0,4,0,0,0
"72","Block 1070, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"73","Block 1071, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"74","Block 1072, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"75","Block 1073, Block Group 1, Census Tract 4001, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"76","Block 1074, Block Group 1, Census Tract 4001, Alameda County, California",60,0,60,60,51,1,0,8,0,0,0
"77","Block 1075, Block Group 1, Census Tract 4001, Alameda County, California",24,2,22,24,24,0,0,0,0,0,0
"78","Block 1076, Block Group 1, Census Tract 4001, Alameda County, California",75,5,70,73,67,1,0,5,0,0,2
"79","Block 1000, Block Group 1, Census Tract 4002, Alameda County, California",39,0,39,31,29,0,0,2,0,0,8
"80","Block 1001, Block Group 1, Census Tract 4002, Alameda County, California",54,4,50,52,52,0,0,0,0,0,2
"81","Block 1002, Block Group 1, Census Tract 4002, Alameda County, California",107,4,103,102,87,0,0,15,0,0,5
"82","Block 1003, Block Group 1, Census Tract 4002, Alameda County, California",20,0,20,20,20,0,0,0,0,0,0
"83","Block 1004, Block Group 1, Census Tract 4002, Alameda County, California",88,6,82,84,82,0,0,2,0,0,4
"84","Block 1005, Block Group 1, Census Tract 4002, Alameda County, California",32,4,28,32,31,0,1,0,0,0,0
"85","Block 1006, Block Group 1, Census Tract 4002, Alameda County, California",42,6,36,37,36,0,0,1,0,0,5
"86","Block 1007, Block Group 1, Census Tract 4002, Alameda County, California",14,0,14,14,14,0,0,0,0,0,0
"87","Block 1008, Block Group 1, Census Tract 4002, Alameda County, California",41,3,38,36,35,0,0,1,0,0,5
"88","Block 1009, Block Group 1, Census Tract 4002, Alameda County, California",35,1,34,31,30,0,0,1,0,0,4
"89","Block 1010, Block Group 1, Census Tract 4002, Alameda County, California",89,3,86,89,88,1,0,0,0,0,0
"90","Block 1011, Block Group 1, Census Tract 4002, Alameda County, California",35,2,33,35,32,0,0,3,0,0,0
