"","Col1","Total.population","Hispanic.or.Latino","Total.population..not.Hispanic.or.Latino","One.race.total","White","Black.or.African.American","American.Indian.and.Alaska.Native","Asian","Native.Hawaiian.and.Other.Pacific.Islander","Some.Other.Race","Two.or.More.Races"
"1","BLOCKS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4021","Block 2008, Block Group 2, Census Tract 4071.01, Alameda County, California",5,5,0,5,2,0,0,0,3,0,0
"4022","Block 2009, Block Group 2, Census Tract 4071.01, Alameda County, California",152,56,96,150,33,32,1,46,0,38,2
"4023","Block 1000, Block Group 1, Census Tract 4071.02, Alameda County, California",450,156,294,424,95,154,2,67,5,101,26
"4024","Block 1001, Block Group 1, Census Tract 4071.02, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4025","Block 1002, Block Group 1, Census Tract 4071.02, Alameda County, California",138,58,80,132,31,32,4,44,0,21,6
"4026","Block 1003, Block Group 1, Census Tract 4071.02, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4027","Block 1004, Block Group 1, Census Tract 4071.02, Alameda County, California",322,95,227,306,49,129,0,58,0,70,16
"4028","Block 1005, Block Group 1, Census Tract 4071.02, Alameda County, California",107,44,63,100,35,27,0,16,7,15,7
"4029","Block 1006, Block Group 1, Census Tract 4071.02, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4030","Block 1007, Block Group 1, Census Tract 4071.02, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4031","Block 1008, Block Group 1, Census Tract 4071.02, Alameda County, California",9,5,4,7,0,4,0,0,3,0,2
"4032","Block 1009, Block Group 1, Census Tract 4071.02, Alameda County, California",304,123,181,284,79,83,6,52,0,64,20
"4033","Block 1010, Block Group 1, Census Tract 4071.02, Alameda County, California",179,97,82,169,54,42,0,23,0,50,10
"4034","Block 1011, Block Group 1, Census Tract 4071.02, Alameda County, California",163,107,56,160,31,14,4,30,0,81,3
"4035","Block 1012, Block Group 1, Census Tract 4071.02, Alameda County, California",4,0,4,0,0,0,0,0,0,0,4
"4036","Block 1013, Block Group 1, Census Tract 4071.02, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4037","Block 2000, Block Group 2, Census Tract 4071.02, Alameda County, California",176,75,101,170,44,15,0,65,0,46,6
"4038","Block 2001, Block Group 2, Census Tract 4071.02, Alameda County, California",167,69,98,162,39,23,4,68,0,28,5
"4039","Block 2002, Block Group 2, Census Tract 4071.02, Alameda County, California",149,61,88,146,64,19,5,36,0,22,3
"4040","Block 2003, Block Group 2, Census Tract 4071.02, Alameda County, California",196,108,88,174,69,35,0,27,0,43,22
"4041","Block 2004, Block Group 2, Census Tract 4071.02, Alameda County, California",96,47,49,96,29,15,0,22,0,30,0
"4042","Block 2005, Block Group 2, Census Tract 4071.02, Alameda County, California",45,33,12,45,5,3,0,6,0,31,0
"4043","Block 2006, Block Group 2, Census Tract 4071.02, Alameda County, California",72,40,32,69,11,9,0,21,0,28,3
"4044","Block 3000, Block Group 3, Census Tract 4071.02, Alameda County, California",251,168,83,251,51,16,3,59,0,122,0
"4045","Block 3001, Block Group 3, Census Tract 4071.02, Alameda County, California",169,101,68,156,54,25,8,22,0,47,13
"4046","Block 3002, Block Group 3, Census Tract 4071.02, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4047","Block 3003, Block Group 3, Census Tract 4071.02, Alameda County, California",201,129,72,178,47,29,1,40,0,61,23
"4048","Block 3004, Block Group 3, Census Tract 4071.02, Alameda County, California",117,36,81,113,9,35,0,37,0,32,4
"4049","Block 3005, Block Group 3, Census Tract 4071.02, Alameda County, California",162,103,59,160,61,28,4,11,0,56,2
"4050","Block 4000, Block Group 4, Census Tract 4071.02, Alameda County, California",112,52,60,112,30,28,5,22,0,27,0
"4051","Block 4001, Block Group 4, Census Tract 4071.02, Alameda County, California",103,29,74,103,28,20,0,39,0,16,0
"4052","Block 4002, Block Group 4, Census Tract 4071.02, Alameda County, California",263,150,113,252,90,43,4,49,0,66,11
"4053","Block 4003, Block Group 4, Census Tract 4071.02, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4054","Block 4004, Block Group 4, Census Tract 4071.02, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4055","Block 4005, Block Group 4, Census Tract 4071.02, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4056","Block 4006, Block Group 4, Census Tract 4071.02, Alameda County, California",160,89,71,154,31,53,5,3,0,62,6
"4057","Block 4007, Block Group 4, Census Tract 4071.02, Alameda County, California",61,4,57,61,14,16,0,29,0,2,0
"4058","Block 4008, Block Group 4, Census Tract 4071.02, Alameda County, California",139,85,54,137,24,22,0,22,0,69,2
"4059","Block 4009, Block Group 4, Census Tract 4071.02, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4060","Block 4010, Block Group 4, Census Tract 4071.02, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4061","Block 4011, Block Group 4, Census Tract 4071.02, Alameda County, California",36,32,4,35,18,0,0,4,0,13,1
"4062","Block 1000, Block Group 1, Census Tract 4072, Alameda County, California",200,175,25,196,54,10,2,12,0,118,4
"4063","Block 1001, Block Group 1, Census Tract 4072, Alameda County, California",84,66,18,82,27,7,0,6,0,42,2
"4064","Block 1002, Block Group 1, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4065","Block 1003, Block Group 1, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4066","Block 1004, Block Group 1, Census Tract 4072, Alameda County, California",166,138,28,160,56,9,0,8,1,86,6
"4067","Block 1005, Block Group 1, Census Tract 4072, Alameda County, California",36,18,18,33,5,12,0,4,0,12,3
"4068","Block 1006, Block Group 1, Census Tract 4072, Alameda County, California",79,55,24,73,24,10,0,16,0,23,6
"4069","Block 1007, Block Group 1, Census Tract 4072, Alameda County, California",242,212,30,232,64,16,6,10,0,136,10
"4070","Block 1008, Block Group 1, Census Tract 4072, Alameda County, California",117,82,35,102,27,10,6,13,0,46,15
"4071","Block 1009, Block Group 1, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4072","Block 1010, Block Group 1, Census Tract 4072, Alameda County, California",20,9,11,20,1,4,0,7,0,8,0
"4073","Block 1011, Block Group 1, Census Tract 4072, Alameda County, California",17,13,4,17,8,3,0,0,0,6,0
"4074","Block 1012, Block Group 1, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4075","Block 1013, Block Group 1, Census Tract 4072, Alameda County, California",4,4,0,0,0,0,0,0,0,0,4
"4076","Block 1014, Block Group 1, Census Tract 4072, Alameda County, California",224,146,78,208,67,46,1,11,1,82,16
"4077","Block 1015, Block Group 1, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4078","Block 1016, Block Group 1, Census Tract 4072, Alameda County, California",63,40,23,63,2,11,1,10,0,39,0
"4079","Block 1017, Block Group 1, Census Tract 4072, Alameda County, California",24,16,8,24,2,1,0,7,0,14,0
"4080","Block 1018, Block Group 1, Census Tract 4072, Alameda County, California",87,55,32,87,20,15,0,23,0,29,0
"4081","Block 1019, Block Group 1, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4082","Block 1020, Block Group 1, Census Tract 4072, Alameda County, California",77,67,10,75,5,6,13,5,0,46,2
"4083","Block 1021, Block Group 1, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4084","Block 1022, Block Group 1, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4085","Block 1023, Block Group 1, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4086","Block 2000, Block Group 2, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4087","Block 2001, Block Group 2, Census Tract 4072, Alameda County, California",3,3,0,2,0,0,0,0,0,2,1
"4088","Block 2002, Block Group 2, Census Tract 4072, Alameda County, California",237,186,51,232,68,23,0,22,0,119,5
"4089","Block 2003, Block Group 2, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4090","Block 2004, Block Group 2, Census Tract 4072, Alameda County, California",419,323,96,400,100,52,2,33,0,213,19
"4091","Block 2005, Block Group 2, Census Tract 4072, Alameda County, California",185,139,46,174,40,27,0,11,0,96,11
"4092","Block 2006, Block Group 2, Census Tract 4072, Alameda County, California",3,0,3,3,0,3,0,0,0,0,0
"4093","Block 2007, Block Group 2, Census Tract 4072, Alameda County, California",188,169,19,173,65,5,10,14,0,79,15
"4094","Block 2008, Block Group 2, Census Tract 4072, Alameda County, California",595,469,126,562,147,34,27,74,0,280,33
"4095","Block 2009, Block Group 2, Census Tract 4072, Alameda County, California",6,1,5,6,4,0,0,2,0,0,0
"4096","Block 2010, Block Group 2, Census Tract 4072, Alameda County, California",114,79,35,112,15,7,3,23,1,63,2
"4097","Block 3000, Block Group 3, Census Tract 4072, Alameda County, California",177,8,169,176,164,7,0,5,0,0,1
"4098","Block 3001, Block Group 3, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4099","Block 3002, Block Group 3, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4100","Block 3003, Block Group 3, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4101","Block 3004, Block Group 3, Census Tract 4072, Alameda County, California",334,262,72,317,128,19,3,36,0,131,17
"4102","Block 3005, Block Group 3, Census Tract 4072, Alameda County, California",255,204,51,239,93,24,17,8,0,97,16
"4103","Block 3006, Block Group 3, Census Tract 4072, Alameda County, California",94,64,30,87,29,9,0,17,0,32,7
"4104","Block 3007, Block Group 3, Census Tract 4072, Alameda County, California",48,45,3,46,4,0,5,0,0,37,2
"4105","Block 3008, Block Group 3, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4106","Block 3009, Block Group 3, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4107","Block 3010, Block Group 3, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4108","Block 3011, Block Group 3, Census Tract 4072, Alameda County, California",59,42,17,59,12,0,0,13,0,34,0
"4109","Block 3012, Block Group 3, Census Tract 4072, Alameda County, California",247,217,30,241,71,6,10,25,0,129,6
"4110","Block 3013, Block Group 3, Census Tract 4072, Alameda County, California",468,346,122,442,134,43,10,57,3,195,26
"4111","Block 3014, Block Group 3, Census Tract 4072, Alameda County, California",56,40,16,53,14,4,0,8,1,26,3
"4112","Block 4000, Block Group 4, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4113","Block 4001, Block Group 4, Census Tract 4072, Alameda County, California",198,166,32,190,90,0,9,25,0,66,8
"4114","Block 4002, Block Group 4, Census Tract 4072, Alameda County, California",157,138,19,144,51,0,8,12,0,73,13
"4115","Block 4003, Block Group 4, Census Tract 4072, Alameda County, California",169,141,28,156,50,16,3,10,0,77,13
"4116","Block 4004, Block Group 4, Census Tract 4072, Alameda County, California",195,118,77,191,45,10,11,47,0,78,4
"4117","Block 4005, Block Group 4, Census Tract 4072, Alameda County, California",126,82,44,126,65,6,2,5,0,48,0
"4118","Block 4006, Block Group 4, Census Tract 4072, Alameda County, California",201,142,59,195,87,0,1,41,0,66,6
"4119","Block 4007, Block Group 4, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4120","Block 4008, Block Group 4, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4121","Block 4009, Block Group 4, Census Tract 4072, Alameda County, California",92,75,17,84,16,7,0,6,0,55,8
"4122","Block 4010, Block Group 4, Census Tract 4072, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4123","Block 4011, Block Group 4, Census Tract 4072, Alameda County, California",110,89,21,108,31,6,0,14,0,57,2
"4124","Block 4012, Block Group 4, Census Tract 4072, Alameda County, California",213,169,44,200,49,11,6,28,0,106,13
"4125","Block 4013, Block Group 4, Census Tract 4072, Alameda County, California",357,231,126,334,154,26,13,43,0,98,23
"4126","Block 1000, Block Group 1, Census Tract 4073, Alameda County, California",6,0,6,6,0,0,0,0,6,0,0
"4127","Block 1001, Block Group 1, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4128","Block 1002, Block Group 1, Census Tract 4073, Alameda County, California",133,95,38,128,23,23,0,10,0,72,5
"4129","Block 1003, Block Group 1, Census Tract 4073, Alameda County, California",265,173,92,262,57,45,0,36,1,123,3
"4130","Block 1004, Block Group 1, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4131","Block 1005, Block Group 1, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4132","Block 1006, Block Group 1, Census Tract 4073, Alameda County, California",340,221,119,328,93,45,9,27,0,154,12
"4133","Block 1007, Block Group 1, Census Tract 4073, Alameda County, California",179,123,56,168,59,44,3,12,0,50,11
"4134","Block 1008, Block Group 1, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4135","Block 1009, Block Group 1, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4136","Block 1010, Block Group 1, Census Tract 4073, Alameda County, California",108,52,56,102,13,42,1,14,0,32,6
"4137","Block 1011, Block Group 1, Census Tract 4073, Alameda County, California",142,112,30,142,24,2,5,30,0,81,0
"4138","Block 1012, Block Group 1, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4139","Block 1013, Block Group 1, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4140","Block 1014, Block Group 1, Census Tract 4073, Alameda County, California",67,45,22,65,14,14,0,1,6,30,2
"4141","Block 1015, Block Group 1, Census Tract 4073, Alameda County, California",11,5,6,11,0,5,0,6,0,0,0
"4142","Block 1016, Block Group 1, Census Tract 4073, Alameda County, California",65,48,17,65,27,14,0,2,0,22,0
"4143","Block 1017, Block Group 1, Census Tract 4073, Alameda County, California",4,4,0,4,0,0,0,0,0,4,0
"4144","Block 1018, Block Group 1, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4145","Block 1019, Block Group 1, Census Tract 4073, Alameda County, California",17,9,8,13,0,6,0,2,0,5,4
"4146","Block 1020, Block Group 1, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4147","Block 1021, Block Group 1, Census Tract 4073, Alameda County, California",8,0,8,6,4,0,0,2,0,0,2
"4148","Block 1022, Block Group 1, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4149","Block 2000, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4150","Block 2001, Block Group 2, Census Tract 4073, Alameda County, California",13,13,0,13,0,0,0,0,0,13,0
"4151","Block 2002, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4152","Block 2003, Block Group 2, Census Tract 4073, Alameda County, California",8,7,1,7,5,0,0,0,0,2,1
"4153","Block 2004, Block Group 2, Census Tract 4073, Alameda County, California",68,63,5,66,29,3,2,0,0,32,2
"4154","Block 2005, Block Group 2, Census Tract 4073, Alameda County, California",27,24,3,26,15,0,0,0,0,11,1
"4155","Block 2006, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4156","Block 2007, Block Group 2, Census Tract 4073, Alameda County, California",6,5,1,6,3,1,0,0,0,2,0
"4157","Block 2008, Block Group 2, Census Tract 4073, Alameda County, California",8,8,0,8,0,0,0,0,0,8,0
"4158","Block 2009, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4159","Block 2010, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4160","Block 2011, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4161","Block 2012, Block Group 2, Census Tract 4073, Alameda County, California",4,1,3,4,0,0,1,3,0,0,0
"4162","Block 2013, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4163","Block 2014, Block Group 2, Census Tract 4073, Alameda County, California",48,2,46,43,39,0,0,2,0,2,5
"4164","Block 2015, Block Group 2, Census Tract 4073, Alameda County, California",26,7,19,24,16,2,0,5,0,1,2
"4165","Block 2016, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4166","Block 2017, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4167","Block 2018, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4168","Block 2019, Block Group 2, Census Tract 4073, Alameda County, California",82,8,74,77,67,2,0,2,0,6,5
"4169","Block 2020, Block Group 2, Census Tract 4073, Alameda County, California",152,35,117,138,107,0,1,8,0,22,14
"4170","Block 2021, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4171","Block 2022, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4172","Block 2023, Block Group 2, Census Tract 4073, Alameda County, California",10,1,9,10,0,10,0,0,0,0,0
"4173","Block 2024, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4174","Block 2025, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4175","Block 2026, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4176","Block 2027, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4177","Block 2028, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4178","Block 2029, Block Group 2, Census Tract 4073, Alameda County, California",12,2,10,12,4,2,0,4,0,2,0
"4179","Block 2030, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4180","Block 2031, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4181","Block 2032, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4182","Block 2033, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4183","Block 2034, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4184","Block 2035, Block Group 2, Census Tract 4073, Alameda County, California",16,1,15,16,6,3,0,7,0,0,0
"4185","Block 2036, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4186","Block 2037, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4187","Block 2038, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4188","Block 2039, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4189","Block 2040, Block Group 2, Census Tract 4073, Alameda County, California",22,7,15,17,2,8,0,0,0,7,5
"4190","Block 2041, Block Group 2, Census Tract 4073, Alameda County, California",68,57,11,62,26,11,0,0,0,25,6
"4191","Block 2042, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4192","Block 2043, Block Group 2, Census Tract 4073, Alameda County, California",10,0,10,10,0,10,0,0,0,0,0
"4193","Block 2044, Block Group 2, Census Tract 4073, Alameda County, California",40,29,11,40,13,2,0,9,0,16,0
"4194","Block 2045, Block Group 2, Census Tract 4073, Alameda County, California",175,126,49,171,68,15,6,9,4,69,4
"4195","Block 2046, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4196","Block 2047, Block Group 2, Census Tract 4073, Alameda County, California",6,4,2,6,2,1,0,0,0,3,0
"4197","Block 2048, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4198","Block 2049, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4199","Block 2050, Block Group 2, Census Tract 4073, Alameda County, California",11,6,5,11,8,3,0,0,0,0,0
"4200","Block 2051, Block Group 2, Census Tract 4073, Alameda County, California",113,84,29,108,19,0,1,23,0,65,5
"4201","Block 2052, Block Group 2, Census Tract 4073, Alameda County, California",191,144,47,181,75,22,4,7,0,73,10
"4202","Block 2053, Block Group 2, Census Tract 4073, Alameda County, California",62,48,14,62,17,13,0,0,0,32,0
"4203","Block 2054, Block Group 2, Census Tract 4073, Alameda County, California",16,16,0,16,6,0,0,0,0,10,0
"4204","Block 2055, Block Group 2, Census Tract 4073, Alameda County, California",2,0,2,2,0,2,0,0,0,0,0
"4205","Block 2056, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4206","Block 2057, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4207","Block 2058, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4208","Block 2059, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4209","Block 2060, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4210","Block 2061, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4211","Block 2062, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4212","Block 2063, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4213","Block 2064, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4214","Block 2065, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4215","Block 2066, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4216","Block 2067, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4217","Block 2068, Block Group 2, Census Tract 4073, Alameda County, California",50,49,1,47,9,0,0,0,0,38,3
"4218","Block 2069, Block Group 2, Census Tract 4073, Alameda County, California",7,5,2,7,6,0,0,1,0,0,0
"4219","Block 2070, Block Group 2, Census Tract 4073, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4220","Block 1000, Block Group 1, Census Tract 4074, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4221","Block 1001, Block Group 1, Census Tract 4074, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4222","Block 1002, Block Group 1, Census Tract 4074, Alameda County, California",1,0,1,1,0,1,0,0,0,0,0
"4223","Block 1003, Block Group 1, Census Tract 4074, Alameda County, California",202,101,101,193,57,46,3,37,0,50,9
"4224","Block 1004, Block Group 1, Census Tract 4074, Alameda County, California",126,44,82,120,34,42,0,34,0,10,6
"4225","Block 1005, Block Group 1, Census Tract 4074, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4226","Block 1006, Block Group 1, Census Tract 4074, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4227","Block 1007, Block Group 1, Census Tract 4074, Alameda County, California",51,17,34,50,8,24,3,6,0,9,1
"4228","Block 1008, Block Group 1, Census Tract 4074, Alameda County, California",147,74,73,134,37,31,0,24,0,42,13
"4229","Block 1009, Block Group 1, Census Tract 4074, Alameda County, California",88,49,39,85,20,30,0,0,3,32,3
"4230","Block 1010, Block Group 1, Census Tract 4074, Alameda County, California",166,83,83,153,43,56,0,20,0,34,13
"4231","Block 1011, Block Group 1, Census Tract 4074, Alameda County, California",325,204,121,290,57,78,8,36,3,108,35
"4232","Block 1012, Block Group 1, Census Tract 4074, Alameda County, California",65,29,36,63,10,31,0,0,0,22,2
"4233","Block 1013, Block Group 1, Census Tract 4074, Alameda County, California",119,74,45,112,45,26,1,8,0,32,7
"4234","Block 1014, Block Group 1, Census Tract 4074, Alameda County, California",172,109,63,159,38,55,0,7,0,59,13
"4235","Block 1015, Block Group 1, Census Tract 4074, Alameda County, California",157,79,78,153,31,55,3,17,0,47,4
"4236","Block 1016, Block Group 1, Census Tract 4074, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4237","Block 2000, Block Group 2, Census Tract 4074, Alameda County, California",1,0,1,1,0,0,0,1,0,0,0
"4238","Block 2001, Block Group 2, Census Tract 4074, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4239","Block 2002, Block Group 2, Census Tract 4074, Alameda County, California",2,1,1,2,0,1,0,0,0,1,0
"4240","Block 2003, Block Group 2, Census Tract 4074, Alameda County, California",30,26,4,24,11,4,0,0,0,9,6
"4241","Block 2004, Block Group 2, Census Tract 4074, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4242","Block 2005, Block Group 2, Census Tract 4074, Alameda County, California",92,53,39,86,43,6,0,0,0,37,6
"4243","Block 2006, Block Group 2, Census Tract 4074, Alameda County, California",13,0,13,13,0,11,0,2,0,0,0
"4244","Block 2007, Block Group 2, Census Tract 4074, Alameda County, California",183,137,46,179,69,17,0,27,0,66,4
"4245","Block 2008, Block Group 2, Census Tract 4074, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4246","Block 2009, Block Group 2, Census Tract 4074, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4247","Block 2010, Block Group 2, Census Tract 4074, Alameda County, California",10,5,5,10,0,5,0,0,0,5,0
"4248","Block 2011, Block Group 2, Census Tract 4074, Alameda County, California",59,14,45,59,8,21,7,16,0,7,0
"4249","Block 2012, Block Group 2, Census Tract 4074, Alameda County, California",242,189,53,225,40,28,0,14,0,143,17
"4250","Block 2013, Block Group 2, Census Tract 4074, Alameda County, California",309,205,104,300,37,71,11,38,0,143,9
"4251","Block 2014, Block Group 2, Census Tract 4074, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4252","Block 2015, Block Group 2, Census Tract 4074, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4253","Block 2016, Block Group 2, Census Tract 4074, Alameda County, California",350,270,80,344,53,51,3,25,4,208,6
"4254","Block 3000, Block Group 3, Census Tract 4074, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4255","Block 3001, Block Group 3, Census Tract 4074, Alameda County, California",41,32,9,40,1,7,0,0,0,32,1
"4256","Block 3002, Block Group 3, Census Tract 4074, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4257","Block 3003, Block Group 3, Census Tract 4074, Alameda County, California",198,146,52,198,59,29,2,18,0,90,0
"4258","Block 3004, Block Group 3, Census Tract 4074, Alameda County, California",33,24,9,33,13,1,8,0,8,3,0
"4259","Block 3005, Block Group 3, Census Tract 4074, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4260","Block 3006, Block Group 3, Census Tract 4074, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"4261","Block 3007, Block Group 3, Census Tract 4074, Alameda County, California",48,36,12,47,24,7,0,1,0,15,1
"4262","Block 3008, Block Group 3, Census Tract 4074, Alameda County, California",166,90,76,159,41,56,0,16,0,46,7
"4263","Block 3009, Block Group 3, Census Tract 4074, Alameda County, California",78,72,6,77,31,1,0,3,1,41,1
"4264","Block 3010, Block Group 3, Census Tract 4074, Alameda County, California",239,198,41,220,32,27,10,10,0,141,19
"4265","Block 3011, Block Group 3, Census Tract 4074, Alameda County, California",188,169,19,178,55,1,7,13,0,102,10
